,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,panel_type_IPS,DisplayType,IsTouchscreen,Resolution_Width,Resolution_Height,CPU_brand,CPU_series_model_gen_type,CPU_speed,Memory_Capacity,Type,Total_Memory_Capacity_GB,GPU_Brand,GPU_series,GPU_model_no
10,HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,No OS,1.86kg,20986.992,0.0,,0.0,1366.0,768.0,Intel,Core i5 7200U,2.5GHz,500GB,HDD,500.0,Intel,Hd Graphics,620
11,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,No OS,1.86kg,18381.0672,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i3 6006U,2GHz,500GB,HDD,500.0,Intel,Hd Graphics,520
12,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16GB,256GB SSD,AMD Radeon Pro 555,macOS,1.83kg,130001.6016,1.0,Retina Display,0.0,2880.0,1800.0,Intel,Core i7,2.8GHz,256GB,SSD,256.0,Amd,Radeon Pro,555
13,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg,26581.392,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i3 6006U,2GHz,256GB,SSD,256.0,Amd,Radeon R5,M430
14,Apple,Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,macOS,0.92kg,67260.672,1.0,Retina Display,0.0,2304.0,1440.0,Intel,Core M m3,1.2GHz,256GB,SSD,256.0,Intel,Hd Graphics,615
15,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,macOS,1.37kg,80908.344,1.0,Retina Display,0.0,2560.0,1600.0,Intel,Core i5,2.3GHz,256GB,SSD,256.0,Intel,Iris Plus Graphics,640
16,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg,39693.6,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,256GB,SSD,256.0,Amd,Radeon R5,M430
17,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16GB,512GB SSD,AMD Radeon Pro 560,macOS,1.83kg,152274.24,1.0,Retina Display,0.0,2880.0,1800.0,Intel,Core i7,2.9GHz,512GB,SSD,512.0,Amd,Radeon Pro,560
18,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,2.2kg,26586.72,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i3 7100U,2.4GHz,1024GB,HDD,1024.0,Nvidia,Geforce,940MX
19,Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22kg,52161.12,1.0,Full HD,1.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,128GB,SSD,128.0,Intel,Uhd Graphics,620
21,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,53226.72,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7300HQ,2.5GHz,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,Geforce GTX,1050
22,HP,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R2,No OS,1.86kg,13746.24,0.0,,0.0,1366.0,768.0,Amd,E-Series E2-9000e,1.5GHz,500GB,HDD,500.0,Amd,Radeon,R2
23,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62kg,43636.32,0.0,Full HD,1.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,256GB,SSD,256.0,Intel,Uhd Graphics,620
24,HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.91kg,35111.52,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
25,Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.3kg,22305.1392,0.0,,0.0,1366.0,768.0,Intel,Core i3 6006U,2GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,520
26,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg,58554.72,0.0,,0.0,1440.0,900.0,Intel,Core i5,1.6GHz,128GB,Flash Storage,128.0,Intel,Hd Graphics,6000
27,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,42624.0,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,256GB,SSD,256.0,Amd,Radeon,530
28,Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8GB,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg,69157.44,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8650U,1.9GHz,256GB + 256GB,SSD,512.0,Intel,Uhd Graphics,620
29,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5kg,47738.88,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,1024GB,HDD,1024.0,Nvidia,Geforce,930MX
30,Chuwi,Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics,Windows 10,1.89kg,13053.0672,0.0,Full HD,0.0,1920.0,1080.0,Intel,Atom x5-Z8300,1.44GHz,64GB,Flash Storage,64.0,Intel,Hd Graphics,
31,Asus,Notebook,14,1366x768,AMD E-Series E2-6110 1.5GHz,2GB,32GB Flash Storage,AMD Radeon R2,Windows 10,1.65kg,10602.72,0.0,,0.0,1366.0,768.0,Amd,E-Series E2-6110,1.5GHz,32GB,Flash Storage,32.0,Amd,Radeon,R2
32,HP,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,500GB HDD,AMD Radeon 530,Windows 10,2.71kg,23389.92,0.0,Full HD,0.0,1920.0,1080.0,Amd,A6-Series 9220,2.5GHz,500GB,HDD,500.0,Amd,Radeon,530
33,Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg,99580.32,0.0,/ Quad HD+,1.0,3200.0,1800.0,Intel,Core i7 8550U,1.8GHz,512GB,SSD,512.0,Intel,Uhd Graphics,620
34,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg,53173.44,0.0,,0.0,1440.0,900.0,Intel,Core i5,1.6GHz,256GB,Flash Storage,256.0,Intel,Hd Graphics,6000
35,Lenovo,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44kg,13266.72,0.0,,0.0,1366.0,768.0,Intel,Celeron Dual Core N3350,1.1GHz,64GB,Flash Storage,64.0,Intel,Hd Graphics,500
36,Acer,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Intel HD Graphics 620,Linux,2.1kg,19553.76,0.0,,0.0,1366.0,768.0,Intel,Core i3 7130U,2.7GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,620
37,Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg,52161.12,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,128GB + 1024GB,SSD+HDD,1152.0,Amd,Radeon,530
38,HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.86kg,26037.4032,0.0,,0.0,1366.0,768.0,Intel,Core i5 7200U,2.5GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,620
39,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce 930MX ,Windows 10,2.1kg,46833.12,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,256GB,SSD,256.0,Nvidia,Geforce,930MX
40,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 620,Linux,2kg,20725.92,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i3 6006U,2GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,620
41,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65kg,79866.72,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,256GB + 1024GB,SSD+HDD,1280.0,Nvidia,Geforce GTX,1060
42,Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Nvidia GeForce 940MX,Linux,2.3kg,27864.9072,0.0,,0.0,1366.0,768.0,Intel,Core i5 7200U,2.5GHz,1024GB,HDD,1024.0,Nvidia,Geforce,940MX
43,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.2kg,36336.96,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,256GB,SSD,256.0,Intel,Uhd Graphics,620
44,Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,Nvidia GeForce 150MX,Windows 10,2.77kg,53226.72,0.0,Full HD,1.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,1024GB,HDD,1024.0,Nvidia,Geforce,150MX
45,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8GB,256GB SSD,Intel Iris Graphics 540,macOS,1.37kg,75604.32,1.0,Retina Display,0.0,2560.0,1600.0,Intel,Core i5,2.0GHz,256GB,SSD,256.0,Intel,Iris Graphics,540
47,Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2kg,69210.72,0.0,Full HD,0.0,1920.0,1080.0,Amd,Ryzen 1700,3GHz,256GB + 1024GB,SSD+HDD,1280.0,Amd,Radeon Rx,580
48,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.3kg,34045.92,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,256GB,SSD,256.0,Amd,Radeon R5,M430
49,Asus,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.8kg,24828.48,0.0,,0.0,1366.0,768.0,Intel,Pentium Quad Core N4200,1.1GHz,1024GB,HDD,1024.0,Nvidia,Geforce,920MX
51,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce MX150,Windows 10,2.2kg,44808.48,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,256GB,SSD,256.0,Nvidia,Geforce,MX150
52,HP,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86kg,21231.5472,0.0,Full HD,0.0,1920.0,1080.0,Amd,A6-Series 9220,2.5GHz,256GB,SSD,256.0,Amd,Radeon R4 Graphics,
53,HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49kg,58767.84,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,512GB,SSD,512.0,Intel,Uhd Graphics,620
54,Acer,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.4kg,20459.52,0.0,,0.0,1366.0,768.0,Intel,Core i3 7100U,2.4GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,620
55,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 520,Windows 10,2.13kg,40908.384,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,256GB,SSD,256.0,Amd,Radeon,520
56,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,1.91kg,23389.92,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i3 6006U,2GHz,128GB,SSD,128.0,Intel,Hd Graphics,520
57,Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,2kg,31232.2032,0.0,,0.0,1366.0,768.0,Intel,Core i5 7200U,2.5GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
58,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.43kg,130482.72,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,256GB + 2048GB,SSD+HDD,2304.0,Nvidia,Geforce GTX,1070
59,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,Intel HD Graphics 520,Linux,2kg,22111.2,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i3 6006U,2GHz,256GB,SSD,256.0,Intel,Hd Graphics,520
60,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.8kg,69210.72,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,256GB + 2048GB,SSD+HDD,2304.0,Amd,Radeon,530
61,Dell,Ultrabook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.7kg,46833.12,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,256GB,SSD,256.0,Intel,Uhd Graphics,620
62,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.7kg,31914.72,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i3 7130U,2.7GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
63,Asus,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.4kg,50136.48,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,256GB,SSD,256.0,Intel,Uhd Graphics,620
64,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.86kg,36763.2,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
65,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8kg,105654.24,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,512GB,SSD,512.0,Nvidia,Geforce GTX 1050 Ti,
66,HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,AMD Radeon 520,Windows 10,1.86kg,23373.4032,0.0,,0.0,1366.0,768.0,Intel,Core i3 6006U,2GHz,500GB,HDD,500.0,Amd,Radeon,520
67,HP,Notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB SSD,Intel HD Graphics 400,Windows 10,1.44kg,12201.12,0.0,,0.0,1366.0,768.0,Intel,Celeron Dual Core N3060,1.6GHz,32GB,SSD,32.0,Intel,Hd Graphics,400
68,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.9kg,29250.72,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,620
69,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,3kg,50562.72,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,1024GB,HDD,1024.0,Nvidia,Geforce GTX 1050 Ti,
70,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows 10 S,1.252kg,58021.92,0.0,,1.0,2256.0,1504.0,Intel,Core i5 7200U,2.5GHz,128GB,SSD,128.0,Intel,Hd Graphics,620
71,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,64GB,256GB SSD,AMD Radeon 530,Windows 10,1.4kg,50882.4,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,256GB,SSD,256.0,Amd,Radeon,530
72,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,46353.6,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,256GB,SSD,256.0,Amd,Radeon,530
73,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.7kg,58341.6,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7300HQ,2.5GHz,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,Geforce GTX,1050
74,Acer,Notebook,14,1366x768,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.1kg,20725.92,0.0,,0.0,1366.0,768.0,Intel,Core i3 6006U,2GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,520
75,Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2kg,50562.72,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,1024GB,HDD,1024.0,Nvidia,Geforce GTX,1050
76,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Intel HD Graphics 620,No OS,2.2kg,27652.32,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,2048GB,HDD,2048.0,Intel,Hd Graphics,620
77,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10,2.02kg,45554.4,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,128GB + 1024GB,SSD+HDD,1152.0,Intel,Uhd Graphics,620
78,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2kg,28238.4,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i3 7130U,2.7GHz,1024GB,HDD,1024.0,Nvidia,Geforce,MX130
79,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5kg,52054.56,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,Geforce,930MX
80,Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg,58403.4048,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,256GB,SSD,256.0,Intel,Uhd Graphics,620
81,Apple,Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8GB,512GB SSD,Intel HD Graphics 615,macOS,0.92kg,80452.8,1.0,Retina Display,0.0,2304.0,1440.0,Intel,Core i5,1.3GHz,512GB,SSD,512.0,Intel,Hd Graphics,615
82,HP,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.63kg,45820.8,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
83,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,128GB SSD,AMD R4 Graphics,Windows 10,2.2kg,21258.72,0.0,Full HD,0.0,1920.0,1080.0,Amd,A6-Series 9220,2.5GHz,128GB,SSD,128.0,Amd,R4 Graphics,
84,Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon R5,Windows 10,2.1kg,21045.6,0.0,,0.0,1366.0,768.0,Amd,A9-Series 9420,3GHz,1024GB,HDD,1024.0,Amd,Radeon,R5
85,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65kg,71874.72,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,Geforce GTX 1050 Ti,
86,HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 940MX,Windows 10,1.83kg,37242.72,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,256GB,SSD,256.0,Nvidia,Geforce GTX,940MX
87,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.96kg,31914.1872,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
88,Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.2kg,77202.72,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,Geforce GTX,1060
