,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,panel_type_IPS,DisplayType,IsTouchscreen,Resolution_Width,Resolution_Height,CPU_brand,CPU_series_model_gen_type,CPU_speed_GHz,Memory_Capacity,Type,Total_Memory_Capacity_GB,GPU_Brand,GPU_Series,GPU_model_no,Ram_GB,Weight_kg
30,Chuwi,Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics,Windows 10,1.89kg,13053.0672,0,Full HD,0,1920,1080,Intel,Atom x5-Z8300,1.44,64GB,Flash Storage,64.0,Intel,HD Graphics,Generic,4.0,1.89
31,Asus,Notebook,14,1366x768,AMD E-Series E2-6110 1.5GHz,2GB,32GB Flash Storage,AMD Radeon R2,Windows 10,1.65kg,10602.72,0,Not_given,0,1366,768,Amd,E-Series E2-6110,1.5,32GB,Flash Storage,32.0,AMD,Radeon,R2,2.0,1.65
32,HP,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,500GB HDD,AMD Radeon 530,Windows 10,2.71kg,23389.92,0,Full HD,0,1920,1080,Amd,A6-Series 9220,2.5,500GB,HDD,500.0,AMD,Radeon,530,4.0,2.71
33,Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg,99580.32,0,Quad HD+,1,3200,1800,Intel,Core i7 8550U,1.8,512GB,SSD,512.0,Intel,HD Graphics,U 620,16.0,1.2
34,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg,53173.44,0,Not_given,0,1440,900,Intel,Core i5,1.6,256GB,Flash Storage,256.0,Intel,HD Graphics,6000,8.0,1.35
35,Lenovo,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44kg,13266.72,0,Not_given,0,1366,768,Intel,Celeron Dual Core N3350,1.1,64GB,Flash Storage,64.0,Intel,HD Graphics,500,4.0,1.44
36,Acer,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Intel HD Graphics 620,Linux,2.1kg,19553.76,0,Not_given,0,1366,768,Intel,Core i3 7130U,2.7,1024GB,HDD,1024.0,Intel,HD Graphics,620,4.0,2.1
37,Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg,52161.12,1,Full HD,0,1920,1080,Intel,Core i5 8250U,1.6,128GB + 1024GB,SSD+HDD,1152.0,AMD,Radeon,530,8.0,2.8
38,HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.86kg,26037.4032,0,Not_given,0,1366,768,Intel,Core i5 7200U,2.5,1024GB,HDD,1024.0,Intel,HD Graphics,620,4.0,1.86
39,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce 930MX ,Windows 10,2.1kg,46833.12,0,Full HD,0,1920,1080,Intel,Core i5 8250U,1.6,256GB,SSD,256.0,Nvidia,GeForce,930MX,8.0,2.1
40,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 620,Linux,2kg,20725.92,0,Full HD,0,1920,1080,Intel,Core i3 6006U,2.0,1024GB,HDD,1024.0,Intel,HD Graphics,620,4.0,2.0
41,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65kg,79866.72,1,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,256GB + 1024GB,SSD+HDD,1280.0,Nvidia,GeForce GTX,1060,16.0,2.65
42,Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Nvidia GeForce 940MX,Linux,2.3kg,27864.9072,0,Not_given,0,1366,768,Intel,Core i5 7200U,2.5,1024GB,HDD,1024.0,Nvidia,GeForce,940MX,8.0,2.3
43,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.2kg,36336.96,1,Full HD,0,1920,1080,Intel,Core i5 8250U,1.6,256GB,SSD,256.0,Intel,HD Graphics,U 620,4.0,2.2
44,Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,Nvidia GeForce 150MX,Windows 10,2.77kg,53226.72,0,Full HD,1,1920,1080,Intel,Core i5 8250U,1.6,1024GB,HDD,1024.0,Nvidia,GeForce,150MX,12.0,2.77
45,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8GB,256GB SSD,Intel Iris Graphics 540,macOS,1.37kg,75604.32,1,Retina Display,0,2560,1600,Intel,Core i5,2.0,256GB,SSD,256.0,Intel,Iris,540,8.0,1.37
47,Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2kg,69210.72,0,Full HD,0,1920,1080,Amd,Ryzen 1700,3.0,256GB + 1024GB,SSD+HDD,1280.0,AMD,Radeon RX,580,8.0,3.2
48,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.3kg,34045.92,0,Full HD,0,1920,1080,Intel,Core i5 7200U,2.5,256GB,SSD,256.0,AMD,Radeon,R5 M430,4.0,2.3
49,Asus,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.8kg,24828.48,0,Not_given,0,1366,768,Intel,Pentium Quad Core N4200,1.1,1024GB,HDD,1024.0,Nvidia,GeForce,920MX,4.0,2.8
51,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce MX150,Windows 10,2.2kg,44808.48,1,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,256GB,SSD,256.0,Nvidia,GeForce,MX150,8.0,2.2
52,HP,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86kg,21231.5472,0,Full HD,0,1920,1080,Amd,A6-Series 9220,2.5,256GB,SSD,256.0,AMD,Radeon,R4 Graphics,4.0,1.86
53,HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49kg,58767.84,0,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,512GB,SSD,512.0,Intel,HD Graphics,U 620,8.0,1.49
54,Acer,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.4kg,20459.52,0,Not_given,0,1366,768,Intel,Core i3 7100U,2.4,1024GB,HDD,1024.0,Intel,HD Graphics,620,4.0,2.4
55,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 520,Windows 10,2.13kg,40908.384,0,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,256GB,SSD,256.0,AMD,Radeon,520,8.0,2.13
56,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,1.91kg,23389.92,0,Full HD,0,1920,1080,Intel,Core i3 6006U,2.0,128GB,SSD,128.0,Intel,HD Graphics,520,4.0,1.91
57,Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,2kg,31232.2032,0,Not_given,0,1366,768,Intel,Core i5 7200U,2.5,256GB,SSD,256.0,Intel,HD Graphics,620,4.0,2.0
58,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.43kg,130482.72,0,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,256GB + 2048GB,SSD+HDD,2304.0,Nvidia,GeForce GTX,1070,16.0,2.43
59,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,Intel HD Graphics 520,Linux,2kg,22111.2,0,Full HD,0,1920,1080,Intel,Core i3 6006U,2.0,256GB,SSD,256.0,Intel,HD Graphics,520,4.0,2.0
60,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.8kg,69210.72,0,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,256GB + 2048GB,SSD+HDD,2304.0,AMD,Radeon,530,16.0,2.8
61,Dell,Ultrabook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.7kg,46833.12,0,Full HD,0,1920,1080,Intel,Core i5 8250U,1.6,256GB,SSD,256.0,Intel,HD Graphics,U 620,8.0,1.7
62,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.7kg,31914.72,1,Full HD,0,1920,1080,Intel,Core i3 7130U,2.7,256GB,SSD,256.0,Intel,HD Graphics,620,8.0,1.7
63,Asus,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.4kg,50136.48,0,Full HD,0,1920,1080,Intel,Core i5 8250U,1.6,256GB,SSD,256.0,Intel,HD Graphics,U 620,8.0,1.4
64,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.86kg,36763.2,0,Full HD,0,1920,1080,Intel,Core i5 7200U,2.5,256GB,SSD,256.0,Intel,HD Graphics,620,8.0,1.86
65,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8kg,105654.24,0,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,512GB,SSD,512.0,Nvidia,GeForce GTX,1050 Ti,16.0,1.8
66,HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,AMD Radeon 520,Windows 10,1.86kg,23373.4032,0,Not_given,0,1366,768,Intel,Core i3 6006U,2.0,500GB,HDD,500.0,AMD,Radeon,520,4.0,1.86
67,HP,Notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB SSD,Intel HD Graphics 400,Windows 10,1.44kg,12201.12,0,Not_given,0,1366,768,Intel,Celeron Dual Core N3060,1.6,32GB,SSD,32.0,Intel,HD Graphics,400,4.0,1.44
68,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.9kg,29250.72,0,Full HD,0,1920,1080,Intel,Core i5 7200U,2.5,1024GB,HDD,1024.0,Intel,HD Graphics,620,4.0,1.9
69,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,3kg,50562.72,0,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,1024GB,HDD,1024.0,Nvidia,GeForce GTX,1050 Ti,12.0,3.0
70,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows 10 S,1.252kg,58021.92,0,Not_given,1,2256,1504,Intel,Core i5 7200U,2.5,128GB,SSD,128.0,Intel,HD Graphics,620,4.0,1.252
71,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,64GB,256GB SSD,AMD Radeon 530,Windows 10,1.4kg,50882.4,1,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,256GB,SSD,256.0,AMD,Radeon,530,64.0,1.4
72,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,46353.6,0,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,256GB,SSD,256.0,AMD,Radeon,530,8.0,2.2
73,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.7kg,58341.6,0,Full HD,0,1920,1080,Intel,Core i5 7300HQ,2.5,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,GeForce GTX,1050,8.0,2.7
74,Acer,Notebook,14,1366x768,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.1kg,20725.92,0,Not_given,0,1366,768,Intel,Core i3 6006U,2.0,1024GB,HDD,1024.0,Intel,HD Graphics,520,8.0,2.1
75,Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2kg,50562.72,0,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,1024GB,HDD,1024.0,Nvidia,GeForce GTX,1050,8.0,2.2
76,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Intel HD Graphics 620,No OS,2.2kg,27652.32,0,Full HD,0,1920,1080,Intel,Core i5 7200U,2.5,2048GB,HDD,2048.0,Intel,HD Graphics,620,8.0,2.2
77,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10,2.02kg,45554.4,0,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,128GB + 1024GB,SSD+HDD,1152.0,Intel,HD Graphics,U 620,8.0,2.02
78,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2kg,28238.4,0,Full HD,0,1920,1080,Intel,Core i3 7130U,2.7,1024GB,HDD,1024.0,Nvidia,GeForce,MX130,4.0,2.2
79,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5kg,52054.56,0,Full HD,0,1920,1080,Intel,Core i5 8250U,1.6,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,GeForce,930MX,8.0,2.5
80,Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg,58403.4048,1,Full HD,0,1920,1080,Intel,Core i5 8250U,1.6,256GB,SSD,256.0,Intel,HD Graphics,U 620,8.0,1.88
81,Apple,Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8GB,512GB SSD,Intel HD Graphics 615,macOS,0.92kg,80452.8,1,Retina Display,0,2304,1440,Intel,Core i5,1.3,512GB,SSD,512.0,Intel,HD Graphics,615,8.0,0.92
82,HP,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.63kg,45820.8,0,Full HD,0,1920,1080,Intel,Core i5 8250U,1.6,256GB,SSD,256.0,Intel,HD Graphics,620,8.0,1.63
83,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,128GB SSD,AMD R4 Graphics,Windows 10,2.2kg,21258.72,0,Full HD,0,1920,1080,Amd,A6-Series 9220,2.5,128GB,SSD,128.0,AMD,Radeon,R4 Graphics,4.0,2.2
84,Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon R5,Windows 10,2.1kg,21045.6,0,Not_given,0,1366,768,Amd,A9-Series 9420,3.0,1024GB,HDD,1024.0,AMD,Radeon,R5,4.0,2.1
85,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65kg,71874.72,1,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,GeForce GTX,1050 Ti,16.0,2.65
86,HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 940MX,Windows 10,1.83kg,37242.72,1,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,256GB,SSD,256.0,Nvidia,GeForce GTX,940MX,8.0,1.83
87,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.96kg,31914.1872,0,Full HD,0,1920,1080,Intel,Core i5 7200U,2.5,256GB,SSD,256.0,Intel,HD Graphics,620,8.0,1.96
88,Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.2kg,77202.72,1,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,GeForce GTX,1060,16.0,2.2
89,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21kg,87858.72,1,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,256GB,SSD,256.0,Intel,HD Graphics,U 620,8.0,1.21
